Time,cat,dog
2026-01-27T22:56:00Z,43,67
2026-01-27T23:12:00Z,43,66
2026-01-27T23:28:00Z,41,69
2026-01-27T23:44:00Z,43,70
2026-01-28T00:00:00Z,42,66
2026-01-28T00:16:00Z,41,69
2026-01-28T00:32:00Z,44,69
2026-01-28T00:48:00Z,43,73
2026-01-28T01:04:00Z,40,73
2026-01-28T01:20:00Z,43,74
2026-01-28T01:36:00Z,43,73
2026-01-28T01:52:00Z,44,73
2026-01-28T02:08:00Z,45,77
2026-01-28T02:24:00Z,47,75
2026-01-28T02:40:00Z,44,72
2026-01-28T02:56:00Z,46,72
2026-01-28T03:12:00Z,47,75
2026-01-28T03:28:00Z,48,74
2026-01-28T03:44:00Z,44,75
2026-01-28T04:00:00Z,47,68
2026-01-28T04:16:00Z,47,67
2026-01-28T04:32:00Z,46,68
2026-01-28T04:48:00Z,48,68
2026-01-28T05:04:00Z,46,65
2026-01-28T05:20:00Z,45,67
2026-01-28T05:36:00Z,44,65
2026-01-28T05:52:00Z,44,64
2026-01-28T06:08:00Z,49,63
2026-01-28T06:24:00Z,55,75
2026-01-28T06:40:00Z,53,66
2026-01-28T06:56:00Z,50,61
2026-01-28T07:12:00Z,50,75
2026-01-28T07:28:00Z,46,69
2026-01-28T07:44:00Z,46,62
2026-01-28T08:00:00Z,48,65
2026-01-28T08:16:00Z,44,68
2026-01-28T08:32:00Z,48,100
2026-01-28T08:48:00Z,48,66
2026-01-28T09:04:00Z,47,59
2026-01-28T09:20:00Z,43,61
2026-01-28T09:36:00Z,41,55
2026-01-28T09:52:00Z,40,70
2026-01-28T10:08:00Z,38,65
2026-01-28T10:24:00Z,37,62
2026-01-28T10:40:00Z,37,57
2026-01-28T10:56:00Z,36,59
2026-01-28T11:12:00Z,36,64
2026-01-28T11:28:00Z,37,76
2026-01-28T11:44:00Z,38,64
2026-01-28T12:00:00Z,37,59
2026-01-28T12:16:00Z,45,61
2026-01-28T12:32:00Z,38,59
2026-01-28T12:48:00Z,39,64
2026-01-28T13:04:00Z,34,60
2026-01-28T13:20:00Z,34,61
2026-01-28T13:36:00Z,35,61
2026-01-28T13:52:00Z,35,60
2026-01-28T14:08:00Z,35,57
2026-01-28T14:24:00Z,35,58
2026-01-28T14:40:00Z,38,57
2026-01-28T14:56:00Z,35,60
2026-01-28T15:12:00Z,36,57
2026-01-28T15:28:00Z,36,59
2026-01-28T15:44:00Z,35,56
2026-01-28T16:00:00Z,36,61
2026-01-28T16:16:00Z,36,53
2026-01-28T16:32:00Z,37,57
2026-01-28T16:48:00Z,36,55
2026-01-28T17:04:00Z,37,59
2026-01-28T17:20:00Z,37,59
2026-01-28T17:36:00Z,37,57
2026-01-28T17:52:00Z,37,59
2026-01-28T18:08:00Z,37,60
2026-01-28T18:24:00Z,38,58
2026-01-28T18:40:00Z,36,59
2026-01-28T18:56:00Z,37,58
2026-01-28T19:12:00Z,39,59
2026-01-28T19:28:00Z,39,58
2026-01-28T19:44:00Z,37,57
2026-01-28T20:00:00Z,36,56
2026-01-28T20:16:00Z,38,59
2026-01-28T20:32:00Z,36,58
2026-01-28T20:48:00Z,38,60
2026-01-28T21:04:00Z,37,58
2026-01-28T21:20:00Z,45,61
2026-01-28T21:36:00Z,39,64
2026-01-28T21:52:00Z,39,61
2026-01-28T22:08:00Z,37,60
2026-01-28T22:24:00Z,39,66
2026-01-28T22:40:00Z,40,65
2026-01-28T22:56:00Z,40,63
